iter	Passed	Remaining
0	72	72143
1	77	38440
2	81	27188
3	86	21525
4	91	18288
5	96	16026
6	101	14416
7	106	13215
8	111	12240
9	116	11495
10	121	10895
11	126	10391
12	131	9946
13	137	9650
14	142	9334
15	146	9027
16	151	8769
17	157	8618
18	163	8416
19	167	8227
20	172	8052
21	177	7899
22	182	7748
23	187	7616
24	192	7513
25	197	7401
26	202	7290
27	207	7187
28	211	7092
29	217	7034
30	223	6972
31	228	6899
32	232	6817
33	237	6739
34	242	6673
35	246	6606
36	251	6546
37	256	6494
38	261	6439
39	265	6383
40	270	6332
41	275	6275
42	279	6229
43	285	6202
44	290	6166
45	295	6124
46	300	6100
47	305	6068
48	310	6027
49	315	5987
50	320	5965
51	325	5937
52	330	5901
53	334	5866
54	339	5837
55	344	5809
56	349	5786
57	354	5764
58	359	5733
59	364	5707
60	368	5678
61	373	5649
62	378	5627
63	383	5614
64	390	5614
65	395	5603
66	400	5581
67	405	5558
68	410	5535
69	414	5511
70	420	5498
71	425	5477
72	429	5455
73	434	5439
74	439	5418
75	444	5401
76	449	5383
77	454	5372
78	459	5353
79	464	5345
80	469	5328
81	474	5309
82	479	5292
83	484	5283
84	490	5281
85	496	5277
86	501	5260
87	505	5242
88	510	5224
89	515	5209
90	521	5208
91	527	5208
92	532	5196
93	537	5180
94	542	5164
95	547	5159
96	554	5157
97	558	5143
98	563	5131
99	568	5115
100	572	5098
101	577	5083
102	582	5072
103	587	5058
104	592	5051
105	597	5035
106	601	5022
107	606	5008
108	611	4994
109	616	4990
110	621	4975
111	626	4964
112	631	4956
113	636	4943
114	640	4932
115	645	4919
116	651	4917
117	656	4904
118	660	4891
119	665	4878
120	669	4866
121	674	4855
122	679	4843
123	684	4834
124	689	4826
125	694	4814
126	698	4802
127	703	4791
128	708	4782
129	713	4775
130	719	4774
131	725	4769
132	730	4764
133	736	4757
134	741	4748
135	745	4738
136	750	4729
137	755	4721
138	760	4711
139	765	4701
140	770	4692
141	774	4682
142	780	4675
143	785	4668
144	790	4660
145	795	4655
146	800	4645
147	805	4636
148	810	4627
149	816	4625
150	825	4640
151	833	4652
152	843	4666
153	851	4679
154	859	4686
155	864	4678
156	870	4671
157	876	4669
158	881	4662
159	887	4658
